f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,band gap,g1,g2,g3,g4,g5,label
3.26E+00,0.00E+00,0.00E+00,-1.63E+00,2.82E+00,0.00E+00,0.00E+00,1.00E-16,3.28E+01,3.33E-01,6.67E-01,3.83E-01,6.67E-01,3.33E-01,2.20E-01,0.00E+00,0.00E+00,3.01E-01,3.33E-01,6.67E-01,2.75E-01,6.67E-01,3.33E-01,3.28E-01,2.40E+01,2.40E+01,6.00E+00,3.50E+01,3.50E+01,0.00E+00,6,6,14,17,17,0
3.13E+00,0.00E+00,0.00E+00,-1.56E+00,2.71E+00,0.00E+00,0.00E+00,-2.00E-16,3.56E+01,3.33E-01,6.67E-01,3.74E-01,0.00E+00,0.00E+00,2.96E-01,3.33E-01,6.67E-01,2.70E-01,6.67E-01,3.33E-01,3.22E-01,6.67E-01,3.33E-01,2.44E-01,2.40E+01,2.40E+01,6.00E+00,3.50E+01,1.00E+00,0.00E+00,6,6,14,17,1,0
3.24E+00,0.00E+00,0.00E+00,-1.62E+00,2.81E+00,0.00E+00,1.00E-16,-2.00E-16,3.31E+01,6.67E-01,3.33E-01,2.20E-01,0.00E+00,0.00E+00,3.02E-01,3.33E-01,6.67E-01,3.79E-01,3.33E-01,6.67E-01,2.74E-01,6.67E-01,3.33E-01,3.30E-01,2.40E+01,2.40E+01,6.00E+00,1.70E+01,3.50E+01,0.00E+00,6,6,14,17,17,0
3.18E+00,0.00E+00,0.00E+00,-1.59E+00,2.75E+00,0.00E+00,0.00E+00,-1.00E-16,3.46E+01,0.00E+00,0.00E+00,3.01E-01,3.33E-01,6.67E-01,3.76E-01,6.67E-01,3.33E-01,2.26E-01,3.33E-01,6.67E-01,2.74E-01,6.67E-01,3.33E-01,3.28E-01,2.40E+01,2.40E+01,6.00E+00,1.70E+01,1.70E+01,0.00E+00,6,6,14,17,17,0
3.10E+00,0.00E+00,0.00E+00,-1.55E+00,2.68E+00,0.00E+00,0.00E+00,2.00E-16,3.64E+01,0.00E+00,0.00E+00,2.97E-01,3.33E-01,6.67E-01,3.69E-01,3.33E-01,6.67E-01,2.70E-01,6.67E-01,3.33E-01,3.23E-01,6.67E-01,3.33E-01,2.45E-01,2.40E+01,2.40E+01,6.00E+00,1.70E+01,1.00E+00,0.00E+00,6,6,14,17,1,0
3.27E+00,0.00E+00,0.00E+00,-1.63E+00,2.83E+00,0.00E+00,1.00E-16,-1.00E-16,3.27E+01,6.67E-01,3.33E-01,2.21E-01,0.00E+00,0.00E+00,3.05E-01,3.33E-01,6.67E-01,2.76E-01,6.67E-01,3.33E-01,3.34E-01,3.33E-01,6.67E-01,3.70E-01,2.40E+01,2.40E+01,6.00E+00,9.00E+00,3.50E+01,0.00E+00,6,6,14,17,17,0
3.25E+00,0.00E+00,0.00E+00,-1.62E+00,2.81E+00,0.00E+00,0.00E+00,1.00E-16,3.31E+01,0.00E+00,0.00E+00,3.04E-01,6.67E-01,3.33E-01,2.24E-01,3.33E-01,6.67E-01,2.72E-01,6.67E-01,3.33E-01,3.36E-01,3.33E-01,6.67E-01,3.70E-01,2.40E+01,2.40E+01,6.00E+00,9.00E+00,1.70E+01,0.00E+00,6,6,14,17,17,0
3.26E+00,0.00E+00,0.00E+00,-1.63E+00,2.83E+00,0.00E+00,0.00E+00,0.00E+00,3.27E+01,0.00E+00,0.00E+00,3.01E-01,3.33E-01,6.67E-01,2.69E-01,6.67E-01,3.33E-01,3.34E-01,3.33E-01,6.67E-01,3.67E-01,6.67E-01,3.33E-01,2.35E-01,2.40E+01,2.40E+01,6.00E+00,9.00E+00,9.00E+00,0.00E+00,6,6,14,17,17,0
3.19E+00,0.00E+00,0.00E+00,-1.59E+00,2.76E+00,0.00E+00,-1.00E-16,-4.00E-16,3.44E+01,0.00E+00,0.00E+00,2.99E-01,3.33E-01,6.67E-01,2.68E-01,6.67E-01,3.33E-01,3.31E-01,3.33E-01,6.67E-01,3.64E-01,6.67E-01,3.33E-01,2.43E-01,2.40E+01,2.40E+01,6.00E+00,9.00E+00,1.00E+00,0.00E+00,6,6,14,17,1,0
3.01E+00,0.00E+00,0.00E+00,-1.51E+00,2.61E+00,0.00E+00,0.00E+00,1.00E-16,3.84E+01,0.00E+00,0.00E+00,3.01E-01,3.33E-01,6.67E-01,2.75E-01,6.67E-01,3.33E-01,3.27E-01,3.33E-01,6.67E-01,3.51E-01,6.67E-01,3.33E-01,2.51E-01,2.40E+01,2.40E+01,6.00E+00,1.00E+00,1.00E+00,0.00E+00,6,6,14,1,1,0
