H,1
He,18
Li,1
Be,2
B,13
C,14
N,15
O,16
F,17
Ne,18
Na,1
Mg,2
Al,13
Si,14
P,15
S,16
Cl,17
Ar,18
K,1
Ca,2
Sc,3
Ti,4
V,5
Cr,6
Mn,7
Fe,8
Co,9
Ni,10
Cu,11
Zn,12
Ga,13
Ge,14
As,15
Se,16
Br,17
Kr,18
Rb,1
Sr,2
Y,3
Zr,4
Nb,5
Mo,6
Tc,7
Ru,8
Rh,9
Pd,10
Ag,11
Cd,12
In,13
Sn,14
Sb,15
Te,16
I,17
Xe,18
Cs,1
Ba,2
La,3
Ce,
Pr,
Nd,
Pm,
Sm,
Eu,
Gd,
Tb,
Dy,
Ho,
Er,
Tm,
Yb,
Lu,
Hf,4
Ta,5
W,6
Re,7
Os,8
Ir,9
Pt,10
Au,11
Hg,12
Tl,13
Pb,14
Bi,15
Po,16
At,17
Rn,18
Fr,1
Ra,2
Ac,3
Th,
Pa,
U,
Np,
Pu,
Am,
Cm,
Bk,
Cf,
Es,
Fm,
Md,
No,
Lr,
Rf,4
Db,5
Sg,6
Bh,7
Hs,8
Mt,9
Ds ,10
Rg ,11
Cn ,12
Nh,13
Fl,14
Mc,15
Lv,16
Ts,17
Og,18
