nn1,nn2,nn3,nn4,nn5,np1,np2,np3,np4,np5,ne1,ne2,ne3,ne4,ne5,p1,p2,p3,p4,p5,gno1,gno2,gno3,gno4,gno5,ar1,ar2,ar3,ar4,ar5,en1,en2,en3,en4,en5,ie1,ie2,ie3,ie4,ie5,d1,d2,d3,d4,d5,mp1,mp2,mp3,mp4,mp5,bp1,bp2,bp3,bp4,bp5,numiso1,numiso2,numiso3,numiso4,numiso5,shell1,shell2,shell3,shell4,shell5,spheat1,spheat2,spheat3,spheat4,spheat5,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,label
28,28,6,45,45,24,24,6,35,35,24,24,6,35,35,4,4,2,4,4,6,6,14,17,17,1.9,1.9,0.91,1.1,1.1,1.66,1.66,2.55,2.96,2.96,6.7665,6.7665,11.2603,11.8138,11.8138,7.15,7.15,2.27,3.12,3.12,2130.15,2130.15,3948.15,266.05,266.05,2944,2944,4300,332,332,9,9,7,19,19,4,4,2,4,4,0.449,0.449,0.709,0.474,0.474,206.64,112.56,112.56,0.64,25.2,0.183696,0.347216,5.716086022,4.561496,1905017.762,2498307.84,27.84,0.64,0.009926,0
28,28,6,45,0,24,24,6,35,1,24,24,6,35,1,4,4,2,4,1,6,6,14,17,1,1.9,1.9,0.91,1.1,0.79,1.66,1.66,2.55,2.96,2.2,6.7665,6.7665,11.2603,11.8138,13.5984,7.15,7.15,2.27,3.12,0.0000899,2130.15,2130.15,3948.15,266.05,14.175,2944,2944,4300,332,20.28,9,9,7,19,3,4,4,2,4,1,0.449,0.449,0.709,0.474,14.304,267.84,158.8,158.8,1.6,34.16,0.23404,0.256624,7.745861508,7.918474391,2064485.87,2743081.357,27.84,1.6,30.408266,0
28,28,6,18,45,24,24,6,17,35,24,24,6,17,35,4,4,2,3,4,6,6,14,17,17,1.9,1.9,0.91,0.97,1.1,1.66,1.66,2.55,3.16,2.96,6.7665,6.7665,11.2603,12.9676,11.8138,7.15,7.15,2.27,0.00321,3.12,2130.15,2130.15,3948.15,172.31,266.05,2944,2944,4300,239.11,332,9,9,7,11,19,4,4,2,3,4,0.449,0.449,0.709,0.479,0.474,165.6,90.96,90.96,0.64,25.2,0.201064,0.401776,6.911948954,7.913561257,1961995.034,2567995.999,17.6,0.64,0.009856,0
28,28,6,18,18,24,24,6,17,17,24,24,6,17,17,4,4,2,3,3,6,6,14,17,17,1.9,1.9,0.91,0.97,0.97,1.66,1.66,2.55,3.16,3.16,6.7665,6.7665,11.2603,12.9676,12.9676,7.15,7.15,2.27,0.00321,0.00321,2130.15,2130.15,3948.15,172.31,172.31,2944,2944,4300,239.11,239.11,9,9,7,11,11,4,4,2,3,3,0.449,0.449,0.709,0.479,0.479,66.24,43.44,43.44,0.56,25.2,0.21708,0.453136,8.001311532,10.48847612,2018269.331,2636993.873,2.24,0.56,0.009784,0
28,28,6,18,0,24,24,6,17,1,24,24,6,17,1,4,4,2,3,1,6,6,14,17,1,1.9,1.9,0.91,0.97,0.79,1.66,1.66,2.55,3.16,2.2,6.7665,6.7665,11.2603,12.9676,13.5984,7.15,7.15,2.27,0.00321,0.0000899,2130.15,2130.15,3948.15,172.31,14.175,2944,2944,4300,239.11,20.28,9,9,7,11,3,4,4,2,3,1,0.449,0.449,0.709,0.479,14.304,129.6,88.24,88.24,1.36,34.16,0.248184,0.323344,8.776998722,10.49261128,2119574.281,2810453.062,7.36,1.36,30.402664,0
28,28,6,10,45,24,24,6,9,35,24,24,6,9,35,4,4,2,2,4,6,6,14,17,17,1.9,1.9,0.91,0.57,1.1,1.66,1.66,2.55,3.98,2.96,6.7665,6.7665,11.2603,17.4228,11.8138,7.15,7.15,2.27,0.0017,3.12,2130.15,2130.15,3948.15,53.63,266.05,2944,2944,4300,85.03,332,9,9,7,6,19,4,4,2,2,4,0.449,0.449,0.709,0.824,0.474,198.24,114.64,114.64,0.96,25.2,0.288424,0.759296,15.52784241,7.915938622,2038164.998,2689678.768,21.6,0.96,0.024346,0
28,28,6,10,18,24,24,6,9,17,24,24,6,9,17,4,4,2,2,3,6,6,14,17,17,1.9,1.9,0.91,0.57,0.97,1.66,1.66,2.55,3.98,3.16,6.7665,6.7665,11.2603,17.4228,12.9676,7.15,7.15,2.27,0.0017,0.00321,2130.15,2130.15,3948.15,53.63,172.31,2944,2944,4300,85.03,239.11,9,9,7,6,11,4,4,2,2,3,0.449,0.449,0.709,0.824,0.479,81.6,55.6,55.6,0.8,25.2,0.30028,0.797536,16.20597221,10.49047698,2093549.289,2757531.643,3.04,0.8,0.024136,0
28,28,6,10,10,24,24,6,9,9,24,24,6,9,9,4,4,2,2,2,6,6,14,17,17,1.9,1.9,0.91,0.57,0.57,1.66,1.66,2.55,3.98,3.98,6.7665,6.7665,11.2603,17.4228,17.4228,7.15,7.15,2.27,0.0017,0.0017,2130.15,2130.15,3948.15,53.63,53.63,2944,2944,4300,85.03,85.03,9,9,7,6,6,4,4,2,2,2,0.449,0.449,0.709,0.824,0.824,91.84,62.64,62.64,0.96,25.2,0.37068,1.088144,22.82272833,10.49247765,2167702.452,2876170.162,1.84,0.96,0.028966,0
28,28,6,10,0,24,24,6,9,1,24,24,6,9,1,4,4,2,2,1,6,6,14,17,1,1.9,1.9,0.91,0.57,0.79,1.66,1.66,2.55,3.98,2.2,6.7665,6.7665,11.2603,17.4228,13.5984,7.15,7.15,2.27,0.0017,0.0000899,2130.15,2130.15,3948.15,53.63,14.175,2944,2944,4300,85.03,20.28,9,9,7,6,3,4,4,2,2,1,0.449,0.449,0.709,0.824,14.304,133.44,90.16,90.16,1.44,34.16,0.325624,0.73072,16.75683219,10.49461176,2193352.842,2928293.446,4.96,1.44,30.035446,0
28,28,6,0,0,24,24,6,1,1,24,24,6,1,1,4,4,2,1,1,6,6,14,1,1,1.9,1.9,0.91,0.79,0.79,1.66,1.66,2.55,2.2,2.2,6.7665,6.7665,11.2603,13.5984,13.5984,7.15,7.15,2.27,0.0000899,0.0000899,2130.15,2130.15,3948.15,14.175,14.175,2944,2944,4300,20.28,20.28,9,9,7,3,3,4,4,2,1,1,0.449,0.449,0.709,14.304,14.304,167.04,112.56,112.56,1.84,22.64,0.276696,0.119824,9.520853222,10.49674566,2218878.696,2980081.324,7.36,1.84,45.505094,0
