f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,band gap,label
3.261006E+00,0.000000E+00,0.000000E+00,-1.630503E+00,2.824114E+00,0.000000E+00,0.000000E+00,1.000000E-16,3.277823E+01,3.333330E-01,6.666670E-01,3.825965E-01,6.666670E-01,3.333330E-01,2.195647E-01,0.000000E+00,0.000000E+00,3.010806E-01,3.333330E-01,6.666670E-01,2.746152E-01,6.666670E-01,3.333330E-01,3.275460E-01,2.400000E+01,2.400000E+01,6.000000E+00,3.500000E+01,3.500000E+01,0.000000E+00,0
3.128723E+00,0.000000E+00,0.000000E+00,-1.564361E+00,2.709553E+00,0.000000E+00,0.000000E+00,-2.000000E-16,3.560857E+01,3.333330E-01,6.666670E-01,3.740452E-01,0.000000E+00,0.000000E+00,2.961351E-01,3.333330E-01,6.666670E-01,2.695259E-01,6.666670E-01,3.333330E-01,3.220620E-01,6.666670E-01,3.333330E-01,2.436347E-01,2.400000E+01,2.400000E+01,6.000000E+00,3.500000E+01,1.000000E+00,0.000000E+00,0
3.242942E+00,0.000000E+00,0.000000E+00,-1.621471E+00,2.808470E+00,0.000000E+00,1.000000E-16,-2.000000E-16,3.314441E+01,6.666670E-01,3.333330E-01,2.199536E-01,0.000000E+00,0.000000E+00,3.019890E-01,3.333330E-01,6.666670E-01,3.790717E-01,3.333330E-01,6.666670E-01,2.739580E-01,6.666670E-01,3.333330E-01,3.304306E-01,2.400000E+01,2.400000E+01,6.000000E+00,1.700000E+01,3.500000E+01,0.000000E+00,0
3.175536E+00,0.000000E+00,0.000000E+00,-1.587768E+00,2.750095E+00,0.000000E+00,0.000000E+00,-1.000000E-16,3.456644E+01,0.000000E+00,0.000000E+00,3.010806E-01,3.333330E-01,6.666670E-01,3.757173E-01,6.666670E-01,3.333330E-01,2.264439E-01,3.333330E-01,6.666670E-01,2.743599E-01,6.666670E-01,3.333330E-01,3.278013E-01,2.400000E+01,2.400000E+01,6.000000E+00,1.700000E+01,1.700000E+01,0.000000E+00,0
3.095383E+00,0.000000E+00,0.000000E+00,-1.547692E+00,2.680681E+00,0.000000E+00,0.000000E+00,2.000000E-16,3.637976E+01,0.000000E+00,0.000000E+00,2.971564E-01,3.333330E-01,6.666670E-01,3.694660E-01,3.333330E-01,6.666670E-01,2.703590E-01,6.666670E-01,3.333330E-01,3.233071E-01,6.666670E-01,3.333330E-01,2.451144E-01,2.400000E+01,2.400000E+01,6.000000E+00,1.700000E+01,1.000000E+00,0.000000E+00,0
3.267117E+00,0.000000E+00,0.000000E+00,-1.633558E+00,2.829406E+00,0.000000E+00,1.000000E-16,-1.000000E-16,3.265573E+01,6.666670E-01,3.333330E-01,2.210047E-01,0.000000E+00,0.000000E+00,3.048843E-01,3.333330E-01,6.666670E-01,2.755697E-01,6.666670E-01,3.333330E-01,3.343284E-01,3.333330E-01,6.666670E-01,3.696159E-01,2.400000E+01,2.400000E+01,6.000000E+00,9.000000E+00,3.500000E+01,0.000000E+00,0
3.246135E+00,0.000000E+00,0.000000E+00,-1.623068E+00,2.811235E+00,0.000000E+00,0.000000E+00,1.000000E-16,3.307923E+01,0.000000E+00,0.000000E+00,3.035670E-01,6.666670E-01,3.333330E-01,2.235111E-01,3.333330E-01,6.666670E-01,2.723043E-01,6.666670E-01,3.333330E-01,3.356766E-01,3.333330E-01,6.666670E-01,3.703440E-01,2.400000E+01,2.400000E+01,6.000000E+00,9.000000E+00,1.700000E+01,0.000000E+00,0
3.263562E+00,0.000000E+00,0.000000E+00,-1.631781E+00,2.826328E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.272690E+01,0.000000E+00,0.000000E+00,3.010806E-01,3.333330E-01,6.666670E-01,2.686083E-01,6.666670E-01,3.333330E-01,3.335528E-01,3.333330E-01,6.666670E-01,3.669764E-01,6.666670E-01,3.333330E-01,2.351848E-01,2.400000E+01,2.400000E+01,6.000000E+00,9.000000E+00,9.000000E+00,0.000000E+00,0
3.185480E+00,0.000000E+00,0.000000E+00,-1.592740E+00,2.758707E+00,0.000000E+00,-1.000000E-16,-4.000000E-16,3.435095E+01,0.000000E+00,0.000000E+00,2.993583E-01,3.333330E-01,6.666670E-01,2.675835E-01,6.666670E-01,3.333330E-01,3.310681E-01,3.333330E-01,6.666670E-01,3.643651E-01,6.666670E-01,3.333330E-01,2.430279E-01,2.400000E+01,2.400000E+01,6.000000E+00,9.000000E+00,1.000000E+00,0.000000E+00,0
3.012388E+00,0.000000E+00,0.000000E+00,-1.506194E+00,2.608804E+00,0.000000E+00,0.000000E+00,1.000000E-16,3.841200E+01,0.000000E+00,0.000000E+00,3.010806E-01,3.333330E-01,6.666670E-01,2.750032E-01,6.666670E-01,3.333330E-01,3.271579E-01,3.333330E-01,6.666670E-01,3.514128E-01,6.666670E-01,3.333330E-01,2.507484E-01,2.400000E+01,2.400000E+01,6.000000E+00,1.000000E+00,1.000000E+00,0.000000E+00,0
3.133704E+00,0.000000E+00,0.000000E+00,-1.566852E+00,2.713867E+00,2.000000E-16,0.000000E+00,-5.000000E-16,3.549545E+01,6.666670E-01,3.333330E-01,2.260211E-01,0.000000E+00,0.000000E+00,3.024504E-01,3.333330E-01,6.666670E-01,2.785762E-01,6.666670E-01,3.333330E-01,3.372507E-01,3.333330E-01,6.666670E-01,3.611045E-01,2.400000E+01,2.400000E+01,6.000000E+00,8.000000E+00,3.500000E+01,0.000000E+00,0
3.099331E+00,0.000000E+00,0.000000E+00,-1.549665E+00,2.684099E+00,0.000000E+00,0.000000E+00,3.000000E-16,3.628715E+01,0.000000E+00,0.000000E+00,3.018787E-01,6.666670E-01,3.333330E-01,2.309501E-01,3.333330E-01,6.666670E-01,2.775901E-01,6.666670E-01,3.333330E-01,3.356642E-01,3.333330E-01,6.666670E-01,3.593198E-01,2.400000E+01,2.400000E+01,6.000000E+00,8.000000E+00,1.700000E+01,0.000000E+00,0
3.158821E+00,0.000000E+00,0.000000E+00,-1.579410E+00,2.735619E+00,0.000000E+00,0.000000E+00,1.000000E-16,3.493322E+01,0.000000E+00,0.000000E+00,2.987949E-01,3.333330E-01,6.666670E-01,2.719307E-01,6.666670E-01,3.333330E-01,3.370814E-01,6.666670E-01,3.333330E-01,2.372149E-01,3.333330E-01,6.666670E-01,3.603811E-01,2.400000E+01,2.400000E+01,6.000000E+00,8.000000E+00,9.000000E+00,0.000000E+00,0
3.011233E+00,0.000000E+00,0.000000E+00,-1.505617E+00,2.607804E+00,0.000000E+00,4.000000E-16,5.000000E-16,3.844146E+01,0.000000E+00,0.000000E+00,2.984225E-01,3.333330E-01,6.666670E-01,2.744161E-01,6.666670E-01,3.333330E-01,3.291619E-01,6.666670E-01,3.333330E-01,2.498383E-01,3.333330E-01,6.666670E-01,3.535640E-01,2.400000E+01,2.400000E+01,6.000000E+00,8.000000E+00,1.000000E+00,0.000000E+00,0
2.910186E+00,0.000000E+00,0.000000E+00,-1.455093E+00,2.520295E+00,0.000000E+00,-1.000000E-16,-2.000000E-16,4.115733E+01,0.000000E+00,0.000000E+00,3.010806E-01,3.333330E-01,6.666670E-01,2.699999E-01,6.666670E-01,3.333330E-01,3.321613E-01,3.333330E-01,6.666670E-01,3.545657E-01,6.666670E-01,3.333330E-01,2.475955E-01,2.400000E+01,2.400000E+01,6.000000E+00,8.000000E+00,8.000000E+00,0.000000E+00,0
3.276167E+00,0.000000E+00,0.000000E+00,-1.638084E+00,2.837244E+00,0.000000E+00,0.000000E+00,2.000000E-16,3.247555E+01,3.333330E-01,6.666670E-01,3.826515E-01,6.666670E-01,3.333330E-01,2.195097E-01,3.333330E-01,6.666670E-01,2.752088E-01,6.666670E-01,3.333330E-01,3.269524E-01,0.000000E+00,0.000000E+00,3.010806E-01,2.400000E+01,2.400000E+01,7.000000E+00,3.500000E+01,3.500000E+01,0.000000E+00,0
3.133950E+00,0.000000E+00,0.000000E+00,-1.566975E+00,2.714080E+00,0.000000E+00,1.000000E-16,1.000000E-16,3.548989E+01,3.333330E-01,6.666670E-01,3.764218E-01,3.333330E-01,6.666670E-01,2.662966E-01,6.666670E-01,3.333330E-01,3.248220E-01,6.666670E-01,3.333330E-01,2.415826E-01,0.000000E+00,0.000000E+00,2.962800E-01,2.400000E+01,2.400000E+01,7.000000E+00,3.500000E+01,1.000000E+00,0.000000E+00,0
3.239043E+00,0.000000E+00,0.000000E+00,-1.619522E+00,2.805094E+00,0.000000E+00,0.000000E+00,-5.000000E-16,3.322425E+01,6.666670E-01,3.333330E-01,2.169769E-01,3.333330E-01,6.666670E-01,3.818973E-01,3.333330E-01,6.666670E-01,2.704454E-01,6.666670E-01,3.333330E-01,3.340760E-01,0.000000E+00,0.000000E+00,3.020073E-01,2.400000E+01,2.400000E+01,7.000000E+00,1.700000E+01,3.500000E+01,0.000000E+00,0
3.181000E+00,0.000000E+00,0.000000E+00,-1.590500E+00,2.754827E+00,0.000000E+00,0.000000E+00,5.000000E-16,3.444778E+01,3.333330E-01,6.666670E-01,3.790844E-01,6.666670E-01,3.333330E-01,2.230767E-01,3.333330E-01,6.666670E-01,2.698051E-01,6.666670E-01,3.333330E-01,3.323560E-01,0.000000E+00,0.000000E+00,3.010806E-01,2.400000E+01,2.400000E+01,7.000000E+00,1.700000E+01,1.700000E+01,0.000000E+00,0
3.094669E+00,0.000000E+00,0.000000E+00,-1.547334E+00,2.680062E+00,0.000000E+00,0.000000E+00,6.000000E-16,3.639656E+01,3.333330E-01,6.666670E-01,3.713253E-01,3.333330E-01,6.666670E-01,2.677475E-01,6.666670E-01,3.333330E-01,3.259120E-01,6.666670E-01,3.333330E-01,2.431637E-01,0.000000E+00,0.000000E+00,2.972545E-01,2.400000E+01,2.400000E+01,7.000000E+00,1.700000E+01,1.000000E+00,0.000000E+00,0
3.309893E+00,0.000000E+00,0.000000E+00,-1.654946E+00,2.866451E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.181712E+01,6.666670E-01,3.333330E-01,2.161296E-01,3.333330E-01,6.666670E-01,2.713621E-01,6.666670E-01,3.333330E-01,3.404646E-01,3.333330E-01,6.666670E-01,3.719446E-01,0.000000E+00,0.000000E+00,3.055021E-01,2.400000E+01,2.400000E+01,7.000000E+00,9.000000E+00,3.500000E+01,0.000000E+00,0
3.268111E+00,1.000000E-16,0.000000E+00,-1.634055E+00,2.830267E+00,0.000000E+00,0.000000E+00,-3.000000E-16,3.263586E+01,6.666670E-01,3.333330E-01,2.218172E-01,3.333330E-01,6.666670E-01,2.702846E-01,6.666670E-01,3.333330E-01,3.383137E-01,3.333330E-01,6.666670E-01,3.705379E-01,0.000000E+00,0.000000E+00,3.044495E-01,2.400000E+01,2.400000E+01,7.000000E+00,9.000000E+00,1.700000E+01,0.000000E+00,0
3.092709E+00,0.000000E+00,0.000000E+00,-1.546355E+00,2.678365E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.644269E+01,3.333330E-01,6.666670E-01,2.698149E-01,6.666670E-01,3.333330E-01,3.323463E-01,3.333330E-01,6.666670E-01,3.634658E-01,6.666670E-01,3.333330E-01,2.386954E-01,0.000000E+00,0.000000E+00,3.010806E-01,2.400000E+01,2.400000E+01,7.000000E+00,9.000000E+00,9.000000E+00,0.000000E+00,0
